Status,NHL Club Name,Requested change,Current Player Listed on Roster,New Player to be Listed (Full Name),Number,Position,Height,Weight,Birthplace (FLAG),Shoots/Catches (Left/Right),Birthday (YYYY-MM-DD),GP,Goals (G),Assists (A),Points (P),New Headshot link?,Notes
,Minnesota Wild,Incorrect statistic,Jared Spurgeon,,,,,,,,,707,89,216,305,N/A,
,Minnesota Wild,Incorrect statistic,Cam Talbot,,,,,,,,,347,N/A,N/A,N/A,N/A,
,Minnesota Wild,Roster list change,Zach Parise,,,,,,,,,,,,,,
,Minnesota Wild,Roster list change,Ryan Suter,,,,,,,,,,,,,,
,Nashville Predators,Incorrect statistic,Matt Duchene,,,,,,,,,827,251,351,602,https://drive.google.com/file/d/1E858f-ccv5ez7wfF9KflMva87sUHmWbw/view?usp=sharing,
,Nashville Predators,Incorrect statistic,Mattias Ekholm,,,,,,,,,586,51,168,219,https://drive.google.com/file/d/16A3VxKOAp5BmS8gi5iRoSlZIEAsE-glT/view?usp=sharing,
,Nashville Predators,Roster list change,Filip Forsberg,Mikael Granlund,64,Center,"5'10""",185,"Oulu, FIN",Left,1992-002-26,591,124,255,379,https://drive.google.com/file/d/1FbtY4n_Uwyu6rOYks66Hp-4IHzEnEZvM/view?usp=sharing,
,Nashville Predators,Incorrect statistic,Roman Josi,,,,,,,,,680,117,329,446,https://drive.google.com/file/d/1-6qHoD50V8Tl1A7NmJ8iKPAGwANQlvLU/view?usp=sharing,
,Nashville Predators,Roster list change,Ryan Ellis,Juuse Saros,74,Goalie,"5'11""",180,"Forssa, FIN",Left,1995-04-19,155,N/A,N/A,N/A,https://drive.google.com/file/d/13hTiCfdir0FvETiGVAkDi72oi4LkuKUb/view?usp=sharing,
,Nashville Predators,Roster list change,Pekka Rinne,Ryan Johansen,92,Center,"6'3""",218,"Vancouver, BC, CAN",Right,1992-07-31,708,151,313,464,https://drive.google.com/file/d/12j9vW01eQzZA-oughv3_4elgM1aVNqt2/view?usp=sharing,
,New Jersey Devils ,Incorrect statistic,Mackenzie Blackwood,,,,,,,,,,,,,N/A,
,New Jersey Devils ,Incorrect statistic,Nico Hischier,,,,,,,,,,,,,N/A,
,New Jersey Devils ,Incorrect statistic,Jack Hughes,,,,,,,,,,,,,N/A,
,New Jersey Devils ,Roster list change,Kyle Palmieri,,,,,,,,,,,,,,
,New Jersey Devils ,Incorrect statistic,PK Subban,,,,,,,,,,,,,N/A,
,New Jersey Devils ,Roster list change,Travis Zajac,,,,,,,,,,,,,,
,New York Islanders,Incorrect statistic,Josh Bailey,,,,,,,,,919,162,349,511,N/A,
,New York Islanders,Incorrect statistic,Mathew Barzal,,,,,,,,,289,76,176,252,N/A,
,New York Islanders,Incorrect statistic,Anders Lee,,,,,,,,,520,184,136,320,N/A,
,New York Islanders,Incorrect statistic,Brock Nelson,,,,,,,,,604,168,160,328,N/A,
,New York Islanders,Incorrect statistic,JG Pageau,,,,,,,,,489,103,109,212,N/A,
,New York Islanders,Roster list change,Nick Leddy,Cal Clutterbuck,15,Right Wing,"6'0""",212,"Welland, ON, CAN",Right,1987-11-18,874,124,123,247,https://drive.google.com/file/d/1ad6Qskaiy81Nc8RHV2VvxGteSlIprcgD/view?usp=sharing,
,New York Rangers,Incorrect statistic,Adam Fox,,,,,,,,,125,13,76,89,N/A,
,New York Rangers,Incorrect statistic,Chris Kreider,,,,,,,,,573,177,169,346,N/A,
,New York Rangers,Incorrect statistic,Artemi Panarin,,,,,,,,,433,165,308,473,N/A,
,New York Rangers,Incorrect statistic,Igor Shesterkin,,,,,,,,,47,N/A,N/A,N/A,N/A,
,New York Rangers,Incorrect statistic,Mike Zibanejad,,,,,,,,,604,200,234,434,N/A,
,New York Rangers,Roster list change,Kaapo Kakko,Alexis Lafrenière,13,Left Wing,"6'2""",196,"St-Eustache, QC, CAN",Left,2001-10-11,56,12,9,21,https://drive.google.com/file/d/1aVy_RQZ1QnIuU5ABQv_tZidqMr-Vx6UJ/view?usp=sharing,
,Ottawa Senators,Roster list change,Erik Gudbranson,Drake Batherson,44,Defencemen,"6'5""",217 lb,"Ottawa, ON, CAN",Right,1992-01-07,518,20,53,73,https://drive.google.com/file/d/1dp7QnEuatVmyoEA4R-oUFWsEhPJhyKVl/view?usp=sharing,
,Ottawa Senators,Roster list change,Christian Wolanin ,Tim Stützle,24,Defencemen,"6'2""",185 lb,"Quebec City, QB, CAN",Left,1995-03-17,43,5,10,15,https://drive.google.com/file/d/1dyY69H-f7Ag8RT7CmfXVaDRb2TOtTodA/view?usp=sharing,
,Ottawa Senators,Incorrect statistic,Matt Murray,,30,Goaltender,"6'4""",178 Ib,"Thunder Bay, ON, CAN",Left,1994-05-25,226,N/A,N/A,N/A,N/A,
,Ottawa Senators,Incorrect statistic,Brady Tkachuk,,7,Left Wing,"6'4""",211 Ib,"Scottsdale, AZ, USA",Left,1999-09-16,198,60,65,125,N/A,
,Ottawa Senators,Incorrect statistic,Colin White,,36,Centerman,"6'1""",197 Ib,"Boston, MA, USA",Right,1997-01-30,200,33,55,88,N/A,
,Ottawa Senators,Incorrect statistic,Thomas Chabot,,72,Defencemen,"6'2""",190 Ib,"Sainte-Marie, QC, CAN",Left,1997-01-30,254,35,115,150,N/A,
,Philadelphia Flyers ,Incorrect statistic,Sean Courtier ,,,,,,,,,692,174,269,443,N/A,
,Philadelphia Flyers ,Incorrect statistic,Claude Giroux ,,,,,,,,,943,273,585,858,N/A,
,Philadelphia Flyers ,Incorrect statistic,Carter Hart,,,,,,,,,101,N/A,N/A,N/A,N/A,
,Philadelphia Flyers ,Incorrect statistic,Kevin Hayes,,,,,,,,,505,127,174,301,N/A,
,Philadelphia Flyers ,Incorrect statistic,Ivan Provorov,,,,,,,,,371,50,109,159,N/A,
,Philadelphia Flyers ,Roster list change,Jakub Vorachek,Scott Laughton,21,Centerman,"6'1""",190 Ib,"Oakville, ON, CAN",Left,1994-05-30,374,53,73,126,https://drive.google.com/file/d/1aZ7TiYSxFmgXOUJF7ZLZgbjqF6XsGleC/view?usp=sharing,
,Pittsburgh Penguins ,Incorrect statistic,Sidney Crosby,,,,,,,,,1039,486,839,183,N/A,
,Pittsburgh Penguins ,Incorrect statistic,Kris Letang ,,,,,,,,,863,134,448,582,N/A,
,Pittsburgh Penguins ,Incorrect statistic,Jake Guentzel,,,,,,,,,299,121,136,257,N/A,
,Pittsburgh Penguins ,Incorrect statistic,Brian Dumoulin,,,,,,,,,388,15,81,96,N/A,
,Pittsburgh Penguins ,Incorrect statistic,Euvgeni Malkin,,,,,,,,,940,424,680,1104,N/A,
,Pittsburgh Penguins ,Incorrect statistic,Tristan Jarry,,,,,,,,,101,0,0,0,N/A,
,San Jose Sharks,Incorrect statistic,Brent Burns,,,,,,,,,1169,217,506,723,N/A,
,San Jose Sharks,Incorrect statistic,Logan Couture,,,,,,,,,768,273,304,577,N/A,
,San Jose Sharks,Incorrect statistic,Tomas Hertl,,,,,,,,,503,151,172,323,N/A,
,San Jose Sharks,Incorrect statistic,Erik Karlson,,,,,,,,,788,143,482,625,N/A,
,San Jose Sharks,Roster list change,Martin Jones,Timo Meier,28,Right Wing,"6'0""",210,"Herisau, CHE",Left,1996-10-08,317,88,100,188,https://drive.google.com/file/d/1c0TbFoinTvK1hzez2yYGXMRryweGkubG/view?usp=sharing,
,San Jose Sharks,Roster list change,Evander Kane,,,Goalie,,,,,,,N/A,N/A,N/A,,
,Seattle Kraken,Roster list change,Jordan Eberle,,7,Right Wing,"5'11""",187 lb,"Regina, SK, CAN",Right,1990-05-15,779,241,310,551,https://drive.google.com/file/d/1cMJnHio_iAScPiz4p221f0HcruxrvWIQ/view?usp=sharing,
,Seattle Kraken,Roster list change,Yanni Gourde,,37,Center,"5'9""",173 lb,"Saint-Narcisse, QC, CAN",Left,1991-12-15,310,80,107,187,https://drive.google.com/file/d/1cIH1TGGTIhYy2ho-7vuy-qJzUn8F2R9b/view?usp=sharing,
,Seattle Kraken,Roster list change,Jaden Schwartz,,17,Center,"5'10""",190 lb,"Wilcox, SK, CAN",Left,1992-06-25,560,154,231,385,https://drive.google.com/file/d/1cH7zflAODXc6ANylVd-5SybYGhRXWqT7/view?usp=sharing ,
,Seattle Kraken,Roster list change,Mark Giordano,,5,Defensemen,"6'1""",200 lb,"Toronto, ON, CAN",Left,1983-10-03,949,143,366,509,https://drive.google.com/file/d/1cNKq6sA7UFNJIuukbXT5CPZc3pZ-5WuH/view?usp=sharing,
,Seattle Kraken,Roster list change,Adam Larsson,,6,Defensemen,"6'3""",208 lb,"Skelleftea, SWE",Right,1992-11-12,603,25,112,137,https://drive.google.com/file/d/1cFZuK_zY9pmcBB4p2FxNRw1mBBoAUtJY/view?usp=sharing ,
,Seattle Kraken,Roster list change,Phillip Grubauer,,31,Goalie,"6'1""",188 lb,"Rosenheim, DEU",Left,1991-11-25,214,N/A,N/A,N/A,https://drive.google.com/file/d/1cJi1MImxmcUzlR9iiiYzP9z8oBHgr44X/view?usp=sharing,
,St. Louis Blues,Incorrect statistic,Torey Krug,,,,,,,,,574,69,300,369,N/A,
,St. Louis Blues,Incorrect statistic,Ryan O'Reilly,,,,,,,,,860,219,395,614,N/A,
,St. Louis Blues,Incorrect statistic,Colton Parayko,,,,,,,,,418,41,130,171,N/A,
,St. Louis Blues,Incorrect statistic,Brayden Schenn,,,,,,,,,714,195,271,466,N/A,
,St. Louis Blues,Incorrect statistic,Robert Thomas,,,,,,,,,169,22,65,87,N/A,
,St. Louis Blues,Roster list change,Jaden Schwartz,Justin Faulk,72,Defenseman,"6'0""",217,"South St. Paul, MN, USA",Right,1992-03-20,684,97,202,299,https://drive.google.com/file/d/1xxLSgKxBkY72jjVmqwGS1hogAzmp8zFA/view?usp=sharing,
,Tampa Bay Lightning ,Incorrect statistic,Victor Heman,,,,,,,,,816,114,404,518,N/A,
,Tampa Bay Lightning ,Incorrect statistic,Nikita Kucherov,,,,,,,,,515,221,326,547,N/A,
,Tampa Bay Lightning ,Incorrect statistic,Ryan McDonagh ,,,,,,,,,712,67,244,311,N/A,
,Tampa Bay Lightning ,Incorrect statistic,Brayden Point,,,,,,,,,351,139,171,310,N/A,
,Tampa Bay Lightning ,Incorrect statistic,Steven Stamkos,,,,,,,,,,,,,N/A,
,Tampa Bay Lightning ,Incorrect statistic,Andrei Vasilevsky,,,,,,,,,,,,,N/A,
,Toronto Maple Leafs,Roster list change,Frederick Andersen,Mitch Marner,16,Right Wing,"6'0""",175 lb,"Markham, ON, CAN",Right,1997-05-05,355,103,255,358,TBD,
,Toronto Maple Leafs,Roster list change,Zach Hyman,Jack Campell,36,Goalie,"6'4""",197 lb,"Port Huron, MI, USA",Left,1992-01-09,86,N/A,N/A,N/A,TBD,
,Toronto Maple Leafs,Incorrect statistic,Justin Holl,,3,Defencemen,"6'4""",210 lb,"Tonka Bay, MN, USA",Right,1991-01-30,136,6,35,41,n/a,
,Toronto Maple Leafs,Incorrect statistic,Auston Matthews,,34,Centerman,"6'3""",220 lb,"San Ramon, CA, USA",Left,1997-09-17,334,199,152,351,n/a,
,Toronto Maple Leafs,Incorrect statistic,Morgan Rielly,,44,Defencemen,"6'1""",219 lb,"Vancouver, BC, CAN",Left,1994-03-09,572,59,246,305,N/A,
,Toronto Maple Leafs,Incorrect statistic,John Tavares,,91,Centerman,"6'1""",215 lb,"Mississauga, ON, CAN",Left,1990-09-20,870,364,455,819,N/A,
,Vancouver Canucks ,Incorrect statistic,Brock Boeser,,6,Right Wing,"6'1""",208 Ib,"Burnsville, MN, USA",Right,1997-02-25,253,98,112,210,N/A,
,Vancouver Canucks ,Incorrect statistic,Thatcher Demko,,35,Goalie,"6'4""",192 Ib,"San Diego, CA, USA",Left,1995-08-12,72,N/A,N/A,N/A,N/A,
,Vancouver Canucks ,Roster list change,Alex Edler,J.T. Miller,9,Centerman,"6'1""",218 Ib,"East Palestine, OH, USA",Left,1993-03-14,557,137,218,355,https://drive.google.com/file/d/1cCMAgFuNKTsA8FZv9da8kgbKQ1Nf-1g5/view?usp=sharing ,
,Vancouver Canucks ,Incorrect statistic,Bo Horvat,,53,Centerman,"6'0""",215 Ib,"London, ON, CAN",Left,1995-04-05,502,139,175,314,N/A,
,Vancouver Canucks ,Incorrect statistic,Quinn Hughes,,43,Defencemen,"5'10""",180 Ib,"Orlando, FL, USA",Left,1999-10-14,129,11,86,97,N/A,
,Vancouver Canucks ,Incorrect statistic,Elias Pettersson,,40,Centerman,"6'2""",176 Ib,"Sundsvall, SWE",Left,1998-11-1998,165,65,88,153,N/A,
,Vegas Golden Knights,Incorrect statistic,Jonathan Marchessault,,,,,,,,,404,130,165,295,N/A,
,Vegas Golden Knights,Incorrect statistic,Brayden McNabb,,,,,,,,,507,20,78,98,N/A,
,Vegas Golden Knights,Incorrect statistic,Reilly Smith,,,,,,,,,630,158,221,379,N/A,
,Vegas Golden Knights,Incorrect statistic,Mark Stone,,,,,,,,,504,170,276,446,N/A,
,Vegas Golden Knights,Incorrect statistic,Shea Theodore,,,,,,,,,317,44,127,171,N/A,
,Vegas Golden Knights,Roster list change,Marc-Andre Fleury,Max Pacioretty,67,Left Wing,"6'2""",215,"New Canaan, CT, USA",Left,1988-11-20,811,304,301,605,https://drive.google.com/file/d/1cSbl9_C8tzlU85-Kx549HRdznZdCBF6A/view?usp=sharing ,
,Washington Capitals ,Incorrect statistic,Nicklas Backstrom,,,,,,,,,1011,258,722,980,N/A,
,Washington Capitals ,Incorrect statistic,John Carlson ,,,,,,,,,809,115,407,522,N/A,
,Washington Capitals ,Incorrect statistic,Michael Kempy,,,,,,,,,232,14,47,61,N/A,
,Washington Capitals ,Incorrect statistic,TJ Oshie,,,,,,,,,856,260,350,610,N/A,
,Washington Capitals ,Incorrect statistic,Alex Ovechkin,,,,,,,,,1197,730,590,1320,N/A,
,Washington Capitals ,Incorrect statistic,Tom,,,,,,,,,569,91,130,221,N/A,
,Winnipeg Jets,Incorrect statistic,Connor Hellebuyck,,,,,,,,,315,N/A,N/A,N/A,N/A,
,Winnipeg Jets,Roster list change,Patrik Laine,Nikolaj Ehlers,27,Left Wing,"6'0""",172 Ib,"Aalborg, DNK",Left,1996-02-14,416,136,167,303,https://drive.google.com/file/d/1co5XW29LEfUjLEbvO7o8NPjmpydNLeyY/view?usp=sharing ,
,Winnipeg Jets,Incorrect statistic,Adam Lowry,,17,Centerman,"6'5""",210 Ib,"St. Louis, MO USA",Left,1993-03-29,460,67,80,147,N/A,
,Winnipeg Jets,Incorrect statistic,Josh Morrissey,,44,Defencemen,"6'0""",195 Ib,"Calgary, AB, CAN",Left,1995-03-28,344,28,101,129,N/A,
,Winnipeg Jets,Incorrect statistic,Mark Scheifele,,55,Centerman,"6'3""",207 Ib,"Kitchener, ON, CAN",Right,1993-03-15,575,201,306,507,N/A,
,Winnipeg Jets,Incorrect statistic,Blake Wheeler,,,,,,,,,981,279,528,807,N/A,